Air Service,Flight Direction/Routine,About,Layover,Time span,Cost,Flight Date,Start,Stop,Take off time,Landing time
IndiGo,BLR → DEL,No info,non-stop,2h 50m,3897,24/03/2019,Banglore,New Delhi,22:20,01:10 22 Mar
Air India,CCU → IXR → BBI → BLR,No info,2 stops,7h 25m,7662,1/05/2019,Kolkata,Banglore,05:50,13:15
Jet Airways,DEL → LKO → BOM → COK,No info,2 stops,19h,13882,9/06/2019,Delhi,Cochin,09:25,04:25 10 Jun
IndiGo,CCU → NAG → BLR,No info,1 stop,5h 25m,6218,12/05/2019,Kolkata,Banglore,18:05,23:30
IndiGo,BLR → NAG → DEL,No info,1 stop,4h 45m,13302,01/03/2019,Banglore,New Delhi,16:50,21:35
SpiceJet,CCU → BLR,No info,non-stop,2h 25m,3873,24/06/2019,Kolkata,Banglore,09:00,11:25
Jet Airways,BLR → BOM → DEL,In-flight meal not included,1 stop,15h 30m,11087,12/03/2019,Banglore,New Delhi,18:55,10:25 13 Mar
Jet Airways,BLR → BOM → DEL,No info,1 stop,21h 5m,22270,01/03/2019,Banglore,New Delhi,08:00,05:05 02 Mar
Jet Airways,BLR → BOM → DEL,In-flight meal not included,1 stop,25h 30m,11087,12/03/2019,Banglore,New Delhi,08:55,10:25 13 Mar
Multiple carriers,DEL → BOM → COK,No info,1 stop,7h 50m,8625,27/05/2019,Delhi,Cochin,11:25,19:15
Air India,DEL → BLR → COK,No info,1 stop,13h 15m,8907,1/06/2019,Delhi,Cochin,09:45,23:00
IndiGo,CCU → BLR,No info,non-stop,2h 35m,4174,18/04/2019,Kolkata,Banglore,20:20,22:55
Air India,MAA → CCU,No info,non-stop,2h 15m,4667,24/06/2019,Chennai,Kolkata,11:40,13:55
Jet Airways,CCU → BOM → BLR,In-flight meal not included,1 stop,12h 10m,9663,9/05/2019,Kolkata,Banglore,21:10,09:20 10 May
IndiGo,CCU → BLR,No info,non-stop,2h 35m,4804,24/04/2019,Kolkata,Banglore,17:15,19:50
Air India,DEL → AMD → BOM → COK,No info,2 stops,26h 35m,14011,3/03/2019,Delhi,Cochin,16:40,19:15 04 Mar
SpiceJet,DEL → PNQ → COK,No info,1 stop,4h 30m,5830,15/04/2019,Delhi,Cochin,08:45,13:15
Jet Airways,DEL → BOM → COK,In-flight meal not included,1 stop,22h 35m,10262,12/06/2019,Delhi,Cochin,14:00,12:35 13 Jun
Air India,DEL → CCU → BOM → COK,No info,2 stops,23h,13381,12/06/2019,Delhi,Cochin,20:15,19:15 13 Jun
Jet Airways,DEL → BOM → COK,In-flight meal not included,1 stop,20h 35m,12898,27/05/2019,Delhi,Cochin,16:00,12:35 28 May
GoAir,DEL → BOM → COK,No info,1 stop,5h 10m,19495,6/03/2019,Delhi,Cochin,14:10,19:20
Air India,BLR → COK → DEL,No info,1 stop,15h 20m,6955,21/03/2019,Banglore,New Delhi,22:00,13:20 19 Mar
IndiGo,BLR → DEL,No info,non-stop,2h 50m,3943,3/04/2019,Banglore,Delhi,04:00,06:50
IndiGo,BLR → DEL,No info,non-stop,2h 55m,4823,1/05/2019,Banglore,Delhi,18:55,21:50
Jet Airways,CCU → BOM → BLR,In-flight meal not included,1 stop,13h 20m,7757,6/05/2019,Kolkata,Banglore,18:55,08:15 07 May
Jet Airways,DEL → IDR → BOM → COK,No info,2 stops,15h 10m,13292,9/06/2019,Delhi,Cochin,21:25,12:35 10 Jun
IndiGo,DEL → LKO → COK,No info,1 stop,5h 45m,8238,1/06/2019,Delhi,Cochin,21:50,03:35 02 Jun
GoAir,DEL → BOM → COK,No info,1 stop,5h 55m,7682,15/05/2019,Delhi,Cochin,07:00,12:55
Vistara,BLR → DEL,No info,non-stop,2h 50m,4668,18/06/2019,Banglore,Delhi,09:45,12:35
Vistara,MAA → CCU,No info,non-stop,2h 15m,3687,15/06/2019,Chennai,Kolkata,07:05,09:20
Vistara,MAA → CCU,No info,non-stop,2h 15m,3687,18/06/2019,Chennai,Kolkata,07:05,09:20
Air India,CCU → GAU → DEL → BLR,No info,2 stops,13h 25m,13227,1/05/2019,Kolkata,Banglore,09:50,23:15
IndiGo,BLR → DEL,No info,non-stop,2h 50m,4423,6/04/2019,Banglore,Delhi,04:00,06:50
Jet Airways,DEL → NAG → BOM → COK,In-flight meal not included,2 stops,22h,10919,15/06/2019,Delhi,Cochin,14:35,12:35 16 Jun
Jet Airways,DEL → BOM → COK,In-flight meal not included,1 stop,5h 30m,12373,18/05/2019,Delhi,Cochin,07:05,12:35
IndiGo,DEL → BOM → COK,No info,1 stop,10h 25m,5894,27/06/2019,Delhi,Cochin,10:35,21:00
SpiceJet,CCU → MAA → BLR,No info,1 stop,5h 15m,4649,21/05/2019,Kolkata,Banglore,15:05,20:20
Air India,CCU → BLR,No info,non-stop,2h 30m,6245,18/05/2019,Kolkata,Banglore,14:15,16:45
Jet Airways,BLR → BOM → DEL,No info,1 stop,6h 15m,19225,06/03/2019,Banglore,New Delhi,07:00,13:15
